Country,State,City,Region,State / Providence Area (in Square Miles),Income per Capita,Population,Price per Kilowatt-Hour,Number of Providers,More than One Electricity Provider,Average Outage - SAIDI - Cooperative - W/O MED,Average Outage - SAIDI - Investor Owned - W/O MED,Average Outage - SAIDI - Municipal - W/O MED,Average Outage - SAIDI - Political Subdivision - W/O MED,Average Outage - SAIDI - State - W/O MED,Average Outage - SAIDI - Without MED,Average Outage - SAIFI - Cooperative - W/O MED,Average Outage - SAIFI - Investor Owned - W/O MED,Average Outage - SAIFI - Municipal - W/O MED,Average Outage - SAIFI - Political Subdivision - W/O MED,Average Outage - SAIFI - State - W/O MED,Average Outage - SAIFI - Without MED
Mexico,Oaxaca,Oaxaca,n/a,36275,1110.071501,255029,0.058792034,1,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Mexico,Puebla,Puebla,n/a,13224,1404.287443,1576000,0.069760309,1,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Mexico,Querétaro,Querétaro,n/a,4517,2372.607682,626495,0.070644009,1,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Mexico,Quintana Roo,Cancún,n/a,42030,2722.675033,628306,0.079688938,1,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Mexico,San Luis Potosí,San Luis Potosí,n/a,23605,1600.832005,824229,0.062326834,1,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Mexico,Sinaloa,Culiacán,n/a,22471,2053.344418,785800,0.059935646,1,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Mexico,Tabasco,Villahermosa,n/a,9756,1693.933611,353577,0.058792034,1,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Mexico,Tamaulipas,Reynosa,n/a,29106,2222.720261,612183,0.058272211,1,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Mexico,Tlaxcala,Apizaco,n/a,1551,1438.233637,76492,0.069760309,1,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Mexico,Veracruz,Boca del Rio,n/a,27683,1368.92638,138058,0.06092331,1,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Mexico,Yucatán,Mérida,n/a,16749,1956.869117,777615,0.079688938,1,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Mexico,Zacatecas,Zacatecas,n/a,137.5,1581.809672,1579000,0.070644009,1,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
